UNITID,INSTNM,INST_DISPLAYNM,CIPCODE,CIPDESC,CREDDESC,IPEDSCOUNT1,IPEDSCOUNT2,AWARDSTOTAL
100654,Alabama A & M University,Alabama A&M,5202,"Business Administration, Management and Operations.",Bachelor's Degree,43,39,82
100654,Alabama A & M University,Alabama A&M,4301,Criminal Justice and Corrections.,Bachelor's Degree,46,32,78
100654,Alabama A & M University,Alabama A&M,4201,"Psychology, General.",Bachelor's Degree,38,34,72
100654,Alabama A & M University,Alabama A&M,1101,"Computer and Information Sciences, General.",Bachelor's Degree,41,26,67
100654,Alabama A & M University,Alabama A&M,1419,Mechanical Engineering.,Bachelor's Degree,30,20,50
100654,Alabama A & M University,Alabama A&M,4407,Social Work.,Bachelor's Degree,22,23,45
100654,Alabama A & M University,Alabama A&M,1002,Audiovisual Communications Technologies/Technicians.,Bachelor's Degree,17,24,41
100654,Alabama A & M University,Alabama A&M,3105,"Sports, Kinesiology, and Physical Education/Fitness.",Bachelor's Degree,17,24,41
100654,Alabama A & M University,Alabama A&M,1410,"Electrical, Electronics, and Communications Engineering.",Bachelor's Degree,18,22,40
100654,Alabama A & M University,Alabama A&M,2401,"Liberal Arts and Sciences, General Studies and Humanities.",Bachelor's Degree,9,25,34
100654,Alabama A & M University,Alabama A&M,5203,Accounting and Related Services.,Bachelor's Degree,19,9,28
100654,Alabama A & M University,Alabama A&M,109,Animal Sciences.,Bachelor's Degree,9,18,27
100654,Alabama A & M University,Alabama A&M,1510,Construction Engineering Technology/Technician.,Bachelor's Degree,8,19,27
100654,Alabama A & M University,Alabama A&M,1310,Special Education and Teaching.,Bachelor's Degree,11,14,25
100654,Alabama A & M University,Alabama A&M,5214,Marketing.,Bachelor's Degree,10,15,25
100654,Alabama A & M University,Alabama A&M,1408,Civil Engineering.,Bachelor's Degree,7,15,22
100654,Alabama A & M University,Alabama A&M,1901,"Family and Consumer Sciences/Human Sciences, General.",Bachelor's Degree,12,10,22
100654,Alabama A & M University,Alabama A&M,4510,Political Science and Government.,Bachelor's Degree,12,9,21
100654,Alabama A & M University,Alabama A&M,110,Food Science and Technology.,Bachelor's Degree,7,8,15
100654,Alabama A & M University,Alabama A&M,5208,Finance and Financial Management Services.,Bachelor's Degree,5,9,14
100654,Alabama A & M University,Alabama A&M,1312,"Teacher Education and Professional Development, Specific Levels and Methods.",Bachelor's Degree,7,6,13
100654,Alabama A & M University,Alabama A&M,2301,"English Language and Literature, General.",Bachelor's Degree,6,7,13
100654,Alabama A & M University,Alabama A&M,305,Forestry.,Bachelor's Degree,8,4,12
100654,Alabama A & M University,Alabama A&M,4005,Chemistry.,Bachelor's Degree,5,6,11
100654,Alabama A & M University,Alabama A&M,5009,Music.,Bachelor's Degree,6,3,9
100654,Alabama A & M University,Alabama A&M,2701,Mathematics.,Bachelor's Degree,1,5,6
100654,Alabama A & M University,Alabama A&M,4511,Sociology.,Bachelor's Degree,4,1,5
100654,Alabama A & M University,Alabama A&M,403,"City/Urban, Community, and Regional Planning.",Bachelor's Degree,3,1,4
100654,Alabama A & M University,Alabama A&M,199,"Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other.",Bachelor's Degree,1,2,3
100654,Alabama A & M University,Alabama A&M,1313,"Teacher Education and Professional Development, Specific Subject Areas.",Bachelor's Degree,2,1,3
100654,Alabama A & M University,Alabama A&M,5207,Entrepreneurial and Small Business Operations.,Bachelor's Degree,1,2,3
100654,Alabama A & M University,Alabama A&M,4008,Physics.,Bachelor's Degree,1,1,2
100654,Alabama A & M University,Alabama A&M,5007,Fine and Studio Arts.,Bachelor's Degree,1,1,2
100654,Alabama A & M University,Alabama A&M,2601,"Biology, General.",Bachelor's Degree,60,57,117
100724,Alabama State University,Alabama State,3099,"Multi/Interdisciplinary Studies, Other.",Bachelor's Degree,46,41,87
100724,Alabama State University,Alabama State,4301,Criminal Justice and Corrections.,Bachelor's Degree,47,36,83
100724,Alabama State University,Alabama State,901,Communication and Media Studies.,Bachelor's Degree,29,26,55
100724,Alabama State University,Alabama State,5202,"Business Administration, Management and Operations.",Bachelor's Degree,28,23,51
100724,Alabama State University,Alabama State,4407,Social Work.,Bachelor's Degree,21,28,49
100724,Alabama State University,Alabama State,5123,Rehabilitation and Therapeutic Professions.,Bachelor's Degree,18,31,49
100724,Alabama State University,Alabama State,5203,Accounting and Related Services.,Bachelor's Degree,19,28,47
100724,Alabama State University,Alabama State,4201,"Psychology, General.",Bachelor's Degree,25,21,46
100724,Alabama State University,Alabama State,1312,"Teacher Education and Professional Development, Specific Levels and Methods.",Bachelor's Degree,26,19,45
100724,Alabama State University,Alabama State,1104,Information Science/Studies.,Bachelor's Degree,23,17,40
100724,Alabama State University,Alabama State,5009,Music.,Bachelor's Degree,15,16,31
100724,Alabama State University,Alabama State,5214,Marketing.,Bachelor's Degree,15,14,29
100724,Alabama State University,Alabama State,5208,Finance and Financial Management Services.,Bachelor's Degree,10,14,24
100724,Alabama State University,Alabama State,1107,Computer Science.,Bachelor's Degree,13,10,23
100724,Alabama State University,Alabama State,4510,Political Science and Government.,Bachelor's Degree,13,8,21
100724,Alabama State University,Alabama State,4304,Security Science and Technology.,Bachelor's Degree,12,7,19
100724,Alabama State University,Alabama State,1313,"Teacher Education and Professional Development, Specific Subject Areas.",Bachelor's Degree,3,15,18
100724,Alabama State University,Alabama State,5005,Drama/Theatre Arts and Stagecraft.,Bachelor's Degree,6,11,17
100724,Alabama State University,Alabama State,5003,Dance.,Bachelor's Degree,3,13,16
100724,Alabama State University,Alabama State,2301,"English Language and Literature, General.",Bachelor's Degree,12,2,14
100724,Alabama State University,Alabama State,1405,Biomedical/Medical Engineering.,Bachelor's Degree,5,8,13
100724,Alabama State University,Alabama State,5107,Health and Medical Administrative Services.,Bachelor's Degree,6,7,13
100724,Alabama State University,Alabama State,3103,"Parks, Recreation, and Leisure Facilities Management.",Bachelor's Degree,7,4,11
100724,Alabama State University,Alabama State,5007,Fine and Studio Arts.,Bachelor's Degree,5,5,10
100724,Alabama State University,Alabama State,4005,Chemistry.,Bachelor's Degree,3,6,9
100724,Alabama State University,Alabama State,2701,Mathematics.,Bachelor's Degree,3,4,7
100724,Alabama State University,Alabama State,5401,History.,Bachelor's Degree,5,2,7
100724,Alabama State University,Alabama State,1310,Special Education and Teaching.,Bachelor's Degree,1,1,2
100724,Alabama State University,Alabama State,2613,"Ecology, Evolution, Systematics, and Population Biology.",Bachelor's Degree,1,1,2
100724,Alabama State University,Alabama State,3902,Bible/Biblical Studies.,Bachelor's Degree,4,3,7
138716,Albany State University,Albany State University,5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,92,106,198
138716,Albany State University,Albany State University,4301,Criminal Justice and Corrections.,Bachelor's Degree,80,93,173
138716,Albany State University,Albany State University,5202,"Business Administration, Management and Operations.",Bachelor's Degree,55,53,108
138716,Albany State University,Albany State University,4201,"Psychology, General.",Bachelor's Degree,52,40,92
138716,Albany State University,Albany State University,2601,"Biology, General.",Bachelor's Degree,37,45,82
138716,Albany State University,Albany State University,1312,"Teacher Education and Professional Development, Specific Levels and Methods.",Bachelor's Degree,37,27,64
138716,Albany State University,Albany State University,1101,"Computer and Information Sciences, General.",Bachelor's Degree,19,21,40
138716,Albany State University,Albany State University,901,Communication and Media Studies.,Bachelor's Degree,22,17,39
138716,Albany State University,Albany State University,4407,Social Work.,Bachelor's Degree,15,17,32
138716,Albany State University,Albany State University,5214,Marketing.,Bachelor's Degree,10,13,23
138716,Albany State University,Albany State University,5001,"Visual and Performing Arts, General.",Bachelor's Degree,10,12,22
138716,Albany State University,Albany State University,4510,Political Science and Government.,Bachelor's Degree,10,11,21
138716,Albany State University,Albany State University,5203,Accounting and Related Services.,Bachelor's Degree,12,9,21
138716,Albany State University,Albany State University,3000,"Multi-/Interdisciplinary Studies, General.",Bachelor's Degree,12,7,19
138716,Albany State University,Albany State University,4511,Sociology.,Bachelor's Degree,9,9,18
138716,Albany State University,Albany State University,5212,Management Information Systems and Services.,Bachelor's Degree,6,7,13
138716,Albany State University,Albany State University,1301,"Education, General.",Bachelor's Degree,2,5,7
138716,Albany State University,Albany State University,2701,Mathematics.,Bachelor's Degree,6,1,7
138716,Albany State University,Albany State University,2301,"English Language and Literature, General.",Bachelor's Degree,2,4,6
138716,Albany State University,Albany State University,5401,History.,Bachelor's Degree,4,2,6
138716,Albany State University,Albany State University,4005,Chemistry.,Bachelor's Degree,2,3,5
138716,Albany State University,Albany State University,5202,"Business Administration, Management and Operations.",Bachelor's Degree,54,55,109
175342,Alcorn State University,,2401,"Liberal Arts and Sciences, General Studies and Humanities.",Bachelor's Degree,60,52,112
175342,Alcorn State University,,5202,"Business Administration, Management and Operations.",Bachelor's Degree,42,48,90
175342,Alcorn State University,,5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,39,36,75
175342,Alcorn State University,,101,Agricultural Business and Management.,Bachelor's Degree,29,25,54
175342,Alcorn State University,,4201,"Psychology, General.",Bachelor's Degree,29,21,50
175342,Alcorn State University,,100,"Agriculture, General.",Bachelor's Degree,24,19,43
175342,Alcorn State University,,4407,Social Work.,Bachelor's Degree,18,25,43
175342,Alcorn State University,,4301,Criminal Justice and Corrections.,Bachelor's Degree,19,20,39
175342,Alcorn State University,,1907,"Human Development, Family Studies, and Related Services.",Bachelor's Degree,20,17,37
175342,Alcorn State University,,5203,Accounting and Related Services.,Bachelor's Degree,21,16,37
175342,Alcorn State University,,1101,"Computer and Information Sciences, General.",Bachelor's Degree,30,6,36
175342,Alcorn State University,,2999,"Military Technologies and Applied Sciences, Other.",Bachelor's Degree,24,12,36
175342,Alcorn State University,,4005,Chemistry.,Bachelor's Degree,25,11,36
175342,Alcorn State University,,901,Communication and Media Studies.,Bachelor's Degree,23,6,29
175342,Alcorn State University,,1312,"Teacher Education and Professional Development, Specific Levels and Methods.",Bachelor's Degree,17,11,28
175342,Alcorn State University,,3105,"Sports, Kinesiology, and Physical Education/Fitness.",Bachelor's Degree,11,15,26
175342,Alcorn State University,,5009,Music.,Bachelor's Degree,18,4,22
175342,Alcorn State University,,3101,"Parks, Recreation, and Leisure Studies.",Bachelor's Degree,9,4,13
175342,Alcorn State University,,1110,Computer/Information Technology Administration and Management.,Bachelor's Degree,9,3,12
175342,Alcorn State University,,2301,"English Language and Literature, General.",Bachelor's Degree,5,5,10
175342,Alcorn State University,,1504,Electromechanical Technologies/Technicians.,Bachelor's Degree,5,4,9
175342,Alcorn State University,,4510,Political Science and Government.,Bachelor's Degree,5,3,8
175342,Alcorn State University,,1905,"Foods, Nutrition, and Related Services.",Bachelor's Degree,6,0,6
175342,Alcorn State University,,2701,Mathematics.,Bachelor's Degree,3,2,5
175342,Alcorn State University,,4511,Sociology.,Bachelor's Degree,2,1,3
175342,Alcorn State University,,5401,History.,Bachelor's Degree,2,1,3
175342,Alcorn State University,,3105,"Sports, Kinesiology, and Physical Education/Fitness.",Bachelor's Degree,27,NA,27
217624,Allen University,,3105,"Sports, Kinesiology, and Physical Education/Fitness.",Bachelor's Degree,11,15,26
217624,Allen University,,2601,"Biology, General.",Bachelor's Degree,8,16,24
217624,Allen University,,4501,"Social Sciences, General.",Bachelor's Degree,8,10,18
217624,Allen University,,2701,Mathematics.,Bachelor's Degree,9,3,12
217624,Allen University,,4301,Criminal Justice and Corrections.,Bachelor's Degree,5,5,10
217624,Allen University,,5009,Music.,Bachelor's Degree,3,5,8
217624,Allen University,,2301,"English Language and Literature, General.",Bachelor's Degree,4,3,7
217624,Allen University,,3802,Religion/Religious Studies.,Bachelor's Degree,1,0,1
217624,Allen University,,5210,Human Resources Management and Services.,Bachelor's Degree,32,NA,32
219505,American Baptist College,,4400,"Human Services, General.",Bachelor's Degree,0,2,2
219505,American Baptist College,,5207,Entrepreneurial and Small Business Operations.,Bachelor's Degree,1,0,1
219505,American Baptist College,,5107,Health and Medical Administrative Services.,Bachelor's Degree,29,16,45
106306,Arkansas Baptist College,,4400,"Human Services, General.",Bachelor's Degree,5,4,9
106306,Arkansas Baptist College,,5202,"Business Administration, Management and Operations.",Bachelor's Degree,4,4,8
106306,Arkansas Baptist College,,4301,Criminal Justice and Corrections.,Bachelor's Degree,3,3,6
106306,Arkansas Baptist College,,4404,Public Administration.,Bachelor's Degree,2,2,4
106306,Arkansas Baptist College,,5207,Entrepreneurial and Small Business Operations.,Bachelor's Degree,2,0,2
106306,Arkansas Baptist College,,1304,Educational Administration and Supervision.,Bachelor's Degree,0,1,1
106306,Arkansas Baptist College,,5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,200,197,397
217721,Benedict College,,5202,"Business Administration, Management and Operations.",Bachelor's Degree,32,38,70
217721,Benedict College,,3105,"Sports, Kinesiology, and Physical Education/Fitness.",Bachelor's Degree,29,35,64
217721,Benedict College,,4301,Criminal Justice and Corrections.,Bachelor's Degree,18,28,46
217721,Benedict College,,4201,"Psychology, General.",Bachelor's Degree,22,20,42
217721,Benedict College,,901,Communication and Media Studies.,Bachelor's Degree,18,21,39
217721,Benedict College,,1312,"Teacher Education and Professional Development, Specific Levels and Methods.",Bachelor's Degree,9,24,33
217721,Benedict College,,5122,Public Health.,Bachelor's Degree,18,13,31
217721,Benedict College,,4407,Social Work.,Bachelor's Degree,11,12,23
217721,Benedict College,,1107,Computer Science.,Bachelor's Degree,8,11,19
217721,Benedict College,,1503,Electrical/Electronic Engineering Technologies/Technicians.,Bachelor's Degree,7,11,18
217721,Benedict College,,5203,Accounting and Related Services.,Bachelor's Degree,11,7,18
217721,Benedict College,,1409,Computer Engineering.,Bachelor's Degree,9,8,17
217721,Benedict College,,5007,Fine and Studio Arts.,Bachelor's Degree,6,7,13
217721,Benedict College,,2301,"English Language and Literature, General.",Bachelor's Degree,6,4,10
217721,Benedict College,,5009,Music.,Bachelor's Degree,3,7,10
217721,Benedict College,,5207,Entrepreneurial and Small Business Operations.,Bachelor's Degree,1,9,10
217721,Benedict College,,5208,Finance and Financial Management Services.,Bachelor's Degree,3,6,9
217721,Benedict College,,5010,"Arts, Entertainment, and Media Management.",Bachelor's Degree,2,6,8
217721,Benedict College,,2401,"Liberal Arts and Sciences, General Studies and Humanities.",Bachelor's Degree,5,2,7
217721,Benedict College,,1907,"Human Development, Family Studies, and Related Services.",Bachelor's Degree,3,1,4
217721,Benedict College,,4510,Political Science and Government.,Bachelor's Degree,2,2,4
217721,Benedict College,,1414,Environmental/Environmental Health Engineering.,Bachelor's Degree,2,0,2
217721,Benedict College,,4005,Chemistry.,Bachelor's Degree,0,2,2
217721,Benedict College,,4008,Physics.,Bachelor's Degree,0,2,2
217721,Benedict College,,4304,Security Science and Technology.,Bachelor's Degree,0,2,2
217721,Benedict College,,4511,Sociology.,Bachelor's Degree,2,0,2
217721,Benedict College,,3101,"Parks, Recreation, and Leisure Studies.",Bachelor's Degree,1,0,1
217721,Benedict College,,3906,Theological and Ministerial Studies.,Bachelor's Degree,48,51,99
197993,Bennett College,,2601,"Biology, General.",Bachelor's Degree,12,6,18
197993,Bennett College,,904,Journalism.,Bachelor's Degree,9,3,12
197993,Bennett College,,5202,"Business Administration, Management and Operations.",Bachelor's Degree,5,6,11
197993,Bennett College,,4407,Social Work.,Bachelor's Degree,5,4,9
197993,Bennett College,,4201,"Psychology, General.",Bachelor's Degree,5,3,8
197993,Bennett College,,4510,Political Science and Government.,Bachelor's Degree,4,1,5
197993,Bennett College,,1312,"Teacher Education and Professional Development, Specific Levels and Methods.",Bachelor's Degree,0,2,2
197993,Bennett College,,2301,"English Language and Literature, General.",Bachelor's Degree,2,NA,2
197993,Bennett College,,2701,Mathematics.,Bachelor's Degree,1,1,2
197993,Bennett College,,4005,Chemistry.,Bachelor's Degree,1,0,1
197993,Bennett College,,5001,"Visual and Performing Arts, General.",Bachelor's Degree,1,0,1
197993,Bennett College,,5009,Music.,Bachelor's Degree,NA,1,1
197993,Bennett College,,5001,"Visual and Performing Arts, General.",Bachelor's Degree,34,29,63
132602,Bethune-Cookman University,,4201,"Psychology, General.",Bachelor's Degree,60,44,104
132602,Bethune-Cookman University,,4301,Criminal Justice and Corrections.,Bachelor's Degree,57,39,96
132602,Bethune-Cookman University,,5202,"Business Administration, Management and Operations.",Bachelor's Degree,42,39,81
132602,Bethune-Cookman University,,901,Communication and Media Studies.,Bachelor's Degree,41,35,76
132602,Bethune-Cookman University,,3105,"Sports, Kinesiology, and Physical Education/Fitness.",Bachelor's Degree,42,29,71
132602,Bethune-Cookman University,,1104,Information Science/Studies.,Bachelor's Degree,18,8,26
132602,Bethune-Cookman University,,4511,Sociology.,Bachelor's Degree,7,14,21
132602,Bethune-Cookman University,,2601,"Biology, General.",Bachelor's Degree,6,12,18
132602,Bethune-Cookman University,,5009,Music.,Bachelor's Degree,10,8,18
132602,Bethune-Cookman University,,5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,10,6,16
132602,Bethune-Cookman University,,5209,Hospitality Administration/Management.,Bachelor's Degree,11,5,16
132602,Bethune-Cookman University,,3011,Gerontology.,Bachelor's Degree,9,6,15
132602,Bethune-Cookman University,,1312,"Teacher Education and Professional Development, Specific Levels and Methods.",Bachelor's Degree,8,5,13
132602,Bethune-Cookman University,,4510,Political Science and Government.,Bachelor's Degree,7,6,13
132602,Bethune-Cookman University,,1313,"Teacher Education and Professional Development, Specific Subject Areas.",Bachelor's Degree,6,2,8
132602,Bethune-Cookman University,,1409,Computer Engineering.,Bachelor's Degree,2,5,7
132602,Bethune-Cookman University,,4005,Chemistry.,Bachelor's Degree,5,2,7
132602,Bethune-Cookman University,,5203,Accounting and Related Services.,Bachelor's Degree,6,1,7
132602,Bethune-Cookman University,,3802,Religion/Religious Studies.,Bachelor's Degree,4,2,6
132602,Bethune-Cookman University,,1107,Computer Science.,Bachelor's Degree,0,3,3
132602,Bethune-Cookman University,,5208,Finance and Financial Management Services.,Bachelor's Degree,2,1,3
132602,Bethune-Cookman University,,301,Natural Resources Conservation and Research.,Bachelor's Degree,2,0,2
132602,Bethune-Cookman University,,4509,International Relations and National Security Studies.,Bachelor's Degree,1,1,2
132602,Bethune-Cookman University,,2701,Mathematics.,Bachelor's Degree,1,0,1
132602,Bethune-Cookman University,,5212,Management Information Systems and Services.,Bachelor's Degree,1,0,1
132602,Bethune-Cookman University,,5401,History.,Bachelor's Degree,1,0,1
132602,Bethune-Cookman University,,3802,Religion/Religious Studies.,Bachelor's Degree,7,3,10
237215,Bluefield State University,,5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,24,18,42
237215,Bluefield State University,,5202,"Business Administration, Management and Operations.",Bachelor's Degree,16,17,33
237215,Bluefield State University,,5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",Bachelor's Degree,12,9,21
237215,Bluefield State University,,1312,"Teacher Education and Professional Development, Specific Levels and Methods.",Bachelor's Degree,7,11,18
237215,Bluefield State University,,4501,"Social Sciences, General.",Bachelor's Degree,7,10,17
237215,Bluefield State University,,1502,Civil Engineering Technologies/Technicians.,Bachelor's Degree,9,6,15
237215,Bluefield State University,,4301,Criminal Justice and Corrections.,Bachelor's Degree,5,9,14
237215,Bluefield State University,,1515,Engineering-Related Fields.,Bachelor's Degree,8,5,13
237215,Bluefield State University,,3001,Biological and Physical Sciences.,Bachelor's Degree,9,4,13
237215,Bluefield State University,,1508,Mechanical Engineering Related Technologies/Technicians.,Bachelor's Degree,6,6,12
237215,Bluefield State University,,1503,Electrical/Electronic Engineering Technologies/Technicians.,Bachelor's Degree,5,3,8
237215,Bluefield State University,,1101,"Computer and Information Sciences, General.",Bachelor's Degree,3,4,7
237215,Bluefield State University,,5107,Health and Medical Administrative Services.,Bachelor's Degree,4,1,5
237215,Bluefield State University,,5203,Accounting and Related Services.,Bachelor's Degree,2,0,2
237215,Bluefield State University,,5202,"Business Administration, Management and Operations.",Bachelor's Degree,42,30,72
162007,Bowie State University,,1002,Audiovisual Communications Technologies/Technicians.,Bachelor's Degree,100,97,197
162007,Bowie State University,,4201,"Psychology, General.",Bachelor's Degree,98,87,185
162007,Bowie State University,,4301,Criminal Justice and Corrections.,Bachelor's Degree,75,102,177
162007,Bowie State University,,1199,"Computer and Information Sciences and Support Services, Other.",Bachelor's Degree,81,68,149
162007,Bowie State University,,2601,"Biology, General.",Bachelor's Degree,77,60,137
162007,Bowie State University,,5004,Design and Applied Arts.,Bachelor's Degree,25,43,68
162007,Bowie State University,,4511,Sociology.,Bachelor's Degree,28,35,63
162007,Bowie State University,,4407,Social Work.,Bachelor's Degree,25,32,57
162007,Bowie State University,,5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,25,30,55
162007,Bowie State University,,1907,"Human Development, Family Studies, and Related Services.",Bachelor's Degree,31,21,52
162007,Bowie State University,,1312,"Teacher Education and Professional Development, Specific Levels and Methods.",Bachelor's Degree,21,27,48
162007,Bowie State University,,3105,"Sports, Kinesiology, and Physical Education/Fitness.",Bachelor's Degree,24,24,48
162007,Bowie State University,,5401,History.,Bachelor's Degree,13,26,39
162007,Bowie State University,,1101,"Computer and Information Sciences, General.",Bachelor's Degree,11,26,37
162007,Bowie State University,,5007,Fine and Studio Arts.,Bachelor's Degree,15,10,25
162007,Bowie State University,,2301,"English Language and Literature, General.",Bachelor's Degree,13,5,18
162007,Bowie State University,,5005,Drama/Theatre Arts and Stagecraft.,Bachelor's Degree,3,9,12
162007,Bowie State University,,2701,Mathematics.,Bachelor's Degree,2,4,6
162007,Bowie State University,,2611,"Biomathematics, Bioinformatics, and Computational Biology.",Bachelor's Degree,4,1,5
162007,Bowie State University,,4005,Chemistry.,Bachelor's Degree,2,1,3
162007,Bowie State University,,1313,"Teacher Education and Professional Development, Specific Subject Areas.",Bachelor's Degree,1,1,2
162007,Bowie State University,,5209,Hospitality Administration/Management.,Bachelor's Degree,30,35,65
201690,Central State University,,4301,Criminal Justice and Corrections.,Bachelor's Degree,112,288,400
201690,Central State University,,1301,"Education, General.",Bachelor's Degree,26,147,173
201690,Central State University,,3000,"Multi-/Interdisciplinary Studies, General.",Bachelor's Degree,12,60,72
201690,Central State University,,1312,"Teacher Education and Professional Development, Specific Levels and Methods.",Bachelor's Degree,10,48,58
201690,Central State University,,4201,"Psychology, General.",Bachelor's Degree,26,18,44
201690,Central State University,,4407,Social Work.,Bachelor's Degree,14,27,41
201690,Central State University,,2601,"Biology, General.",Bachelor's Degree,17,19,36
201690,Central State University,,904,Journalism.,Bachelor's Degree,21,12,33
201690,Central State University,,3105,"Sports, Kinesiology, and Physical Education/Fitness.",Bachelor's Degree,12,12,24
201690,Central State University,,1107,Computer Science.,Bachelor's Degree,7,6,13
201690,Central State University,,1310,Special Education and Teaching.,Bachelor's Degree,2,11,13
201690,Central State University,,5009,Music.,Bachelor's Degree,7,5,12
201690,Central State University,,4510,Political Science and Government.,Bachelor's Degree,6,5,11
201690,Central State University,,5007,Fine and Studio Arts.,Bachelor's Degree,4,5,9
201690,Central State University,,1436,Manufacturing Engineering.,Bachelor's Degree,5,3,8
201690,Central State University,,4005,Chemistry.,Bachelor's Degree,3,5,8
201690,Central State University,,1313,"Teacher Education and Professional Development, Specific Subject Areas.",Bachelor's Degree,5,2,7
201690,Central State University,,1414,Environmental/Environmental Health Engineering.,Bachelor's Degree,2,5,7
201690,Central State University,,3101,"Parks, Recreation, and Leisure Studies.",Bachelor's Degree,5,2,7
201690,Central State University,,1506,Industrial Production Technologies/Technicians.,Bachelor's Degree,3,3,6
201690,Central State University,,2301,"English Language and Literature, General.",Bachelor's Degree,3,2,5
201690,Central State University,,5203,Accounting and Related Services.,Bachelor's Degree,3,2,5
201690,Central State University,,1408,Civil Engineering.,Bachelor's Degree,4,0,4
201690,Central State University,,103,Agricultural Production Operations.,Bachelor's Degree,0,3,3
201690,Central State University,,2701,Mathematics.,Bachelor's Degree,2,0,2
201690,Central State University,,4511,Sociology.,Bachelor's Degree,2,0,2
201690,Central State University,,5401,History.,Bachelor's Degree,2,0,2
201690,Central State University,,1312,"Teacher Education and Professional Development, Specific Levels and Methods.",Bachelor's Degree,246,211,457
211608,Cheyney University of Pennsylvania,,5202,"Business Administration, Management and Operations.",Bachelor's Degree,12,16,28
211608,Cheyney University of Pennsylvania,,4201,"Psychology, General.",Bachelor's Degree,13,7,20
211608,Cheyney University of Pennsylvania,,2601,"Biology, General.",Bachelor's Degree,9,9,18
211608,Cheyney University of Pennsylvania,,2401,"Liberal Arts and Sciences, General Studies and Humanities.",Bachelor's Degree,6,9,15
211608,Cheyney University of Pennsylvania,,5209,Hospitality Administration/Management.,Bachelor's Degree,6,9,15
211608,Cheyney University of Pennsylvania,,901,Communication and Media Studies.,Bachelor's Degree,6,2,8
211608,Cheyney University of Pennsylvania,,5004,Design and Applied Arts.,Bachelor's Degree,2,5,7
211608,Cheyney University of Pennsylvania,,1101,"Computer and Information Sciences, General.",Bachelor's Degree,2,3,5
211608,Cheyney University of Pennsylvania,,1312,"Teacher Education and Professional Development, Specific Levels and Methods.",Bachelor's Degree,3,1,4
211608,Cheyney University of Pennsylvania,,3103,"Parks, Recreation, and Leisure Facilities Management.",Bachelor's Degree,2,2,4
211608,Cheyney University of Pennsylvania,,1310,Special Education and Teaching.,Bachelor's Degree,0,2,2
211608,Cheyney University of Pennsylvania,,2701,Mathematics.,Bachelor's Degree,1,1,2
211608,Cheyney University of Pennsylvania,,5001,"Visual and Performing Arts, General.",Bachelor's Degree,1,1,2
211608,Cheyney University of Pennsylvania,,2301,"English Language and Literature, General.",Bachelor's Degree,0,1,1
211608,Cheyney University of Pennsylvania,,4510,Political Science and Government.,Bachelor's Degree,1,0,1
211608,Cheyney University of Pennsylvania,,5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",Bachelor's Degree,7,12,19
217873,Claflin University,,5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,43,39,82
217873,Claflin University,,4301,Criminal Justice and Corrections.,Bachelor's Degree,44,30,74
217873,Claflin University,,2601,"Biology, General.",Bachelor's Degree,50,22,72
217873,Claflin University,,901,Communication and Media Studies.,Bachelor's Degree,36,21,57
217873,Claflin University,,3105,"Sports, Kinesiology, and Physical Education/Fitness.",Bachelor's Degree,23,30,53
217873,Claflin University,,5202,"Business Administration, Management and Operations.",Bachelor's Degree,36,12,48
217873,Claflin University,,5210,Human Resources Management and Services.,Bachelor's Degree,20,16,36
217873,Claflin University,,5007,Fine and Studio Arts.,Bachelor's Degree,12,16,28
217873,Claflin University,,4511,Sociology.,Bachelor's Degree,13,8,21
217873,Claflin University,,2602,"Biochemistry, Biophysics and Molecular Biology.",Bachelor's Degree,10,9,19
217873,Claflin University,,5214,Marketing.,Bachelor's Degree,7,12,19
217873,Claflin University,,1107,Computer Science.,Bachelor's Degree,12,6,18
217873,Claflin University,,1312,"Teacher Education and Professional Development, Specific Levels and Methods.",Bachelor's Degree,6,10,16
217873,Claflin University,,1409,Computer Engineering.,Bachelor's Degree,12,4,16
217873,Claflin University,,5299,"Business, Management, Marketing, and Related Support Services, Other.",Bachelor's Degree,8,7,15
217873,Claflin University,,2301,"English Language and Literature, General.",Bachelor's Degree,8,6,14
217873,Claflin University,,4510,Political Science and Government.,Bachelor's Degree,9,5,14
217873,Claflin University,,5009,Music.,Bachelor's Degree,10,0,10
217873,Claflin University,,5401,History.,Bachelor's Degree,3,6,9
217873,Claflin University,,1304,Educational Administration and Supervision.,Bachelor's Degree,NA,7,7
217873,Claflin University,,1313,"Teacher Education and Professional Development, Specific Subject Areas.",Bachelor's Degree,1,6,7
217873,Claflin University,,2701,Mathematics.,Bachelor's Degree,3,4,7
